company,car type,year,engine volume,km,hand,gear box,color,current owner,price,gas,horse power
טויוטה,קורולה,2020,1798,95298,1,אוטומטית,כסוף כהה מטלי,חברה,129138,בנזין,98
מרצדס,EQB,2022,0,0,0,אוטומטית,לבן,,430000,חשמל,190
קיה,ספורטאז,2019,1598,108244,1,אוטומטית,כסף,ליסינג,96564,דיזל,136
סיטרואן,ספייסטורר,2020,1199,83690,1,אוטומטית,לבן,-,119664,בנזין,130
שברולט,טראוורס,2019,3564,112014,1,אוטומטית,שנהב לבן,ליסינג,211390,בנזין,310
יונדאי,איוניק,2019,1580,130631,1,אוטומטית,שנהב לבן,השכרה,100000,בנזין,141
רנו,קליאו,2019,1461,97681,1,אוטומטית,שנהב לבן,חברה,68900,דיזל,90
רנו,קליאו,2019,1461,97681,1,אוטומטית,שנהב לבן,חברה,68900,דיזל,90
סקודה,אוקטביה,2020,1498,86225,1,אוטומטית,אפור מטל,חברה,115469,בנזין,150
טויוטה,קורולה,2019,1798,103531,1,אוטומטית,כסף מטלי,-,109911,בנזין,98
סקודה,קארוק,2018,999,29000,1,אוטומטית,כחול פחם מטלי,פרטי,110000,בנזין,115
קיה,אקס סיד,2020,1353,80481,1,אוטומטית,כסף מטלי,השכרה,89404,בנזין,140
טויוטה,קורולה,2019,1798,85225,1,אוטומטית,כסוף כהה מטלי,ליסינג,109060,בנזין,98
לנד רובר,דיפנדר,2023,2997,0,1,אוטומטית,כסף מטלי,חברה,535000,דיזל,200
יונדאי,I20,2019,998,116200,1,אוטומטית,לבן,-,64300,בנזין,100
אאודי,A3,2019,1395,42000,1,אוטומטית,לבן,פרטי,164900,חשמל/בנזין,204
טויוטה,קורולה,2020,1598,80527,1,אוטומטית,תכלת מטאלי,ליסינג,93600,בנזין,132
סקודה,אוקטביה,2018,999,88500,1,אוטומטית,כסף מטלי,פרטי,95500,בנזין,115
סקודה,קודיאק,2019,1498,83644,1,אוטומטית,שנהב לבן,חברה,159895,בנזין,150
ניסאן,מיקרה,2018,1198,56000,2,ידנית,שחור מטלי,-,38700,בנזין,80
טויוטה,קורולה,2019,1798,117284,1,אוטומטית,שנהב לבן,חברה,119860,בנזין,98
